participant, trial, cashIn, pop, totalTokens,  pressCount, tokensGained, duration, reactionTime
100,4,0,0,6,92,1,0.050051927600009094,0
100,4,0,0,7,93,1,0.04999589919999892,0
100,4,0,0,8,94,1,0.06675481799999261,0
100,4,0,0,9,95,1,0.06665802000000554,0
100,4,0,0,10,96,1,0.0666999815999958,0
100,4,0,0,11,97,1,0.05003619199999321,0
100,4,0,0,12,98,1,0.0833859444000069,0
100,4,0,0,13,99,1,0.13336515429999451,0
100,4,0,0,14,100,1,0.05000281329999723,0
100,4,0,0,15,101,1,0.06678295129999867,0
100,4,0,0,16,102,1,0.08344507219999286,0
100,4,0,0,17,103,1,0.08341002470000092,0
100,4,0,0,18,104,1,0.06669116019999421,0
100,4,0,0,19,105,1,0.08340001110001083,0
100,4,0,0,20,106,1,0.04998612400000013,0
100,5,0,0,1,107,-19,12.733054876400004,0
100,5,0,0,2,108,1,0.08343315099999415,0
100,5,0,0,3,109,1,0.05012798299999588,0
100,5,0,0,4,110,1,0.05005598099999986,0
100,5,0,0,5,111,1,0.05001187300000254,0
100,5,0,0,6,112,1,0.06668186199999582,0
100,5,0,0,7,113,1,0.08339786500000912,0
100,5,0,0,8,114,1,0.08337402399999405,0
100,5,0,0,9,115,1,0.08336520199999597,0
100,6,0,0,1,116,-8,10.633084058999998,0
100,6,0,0,2,117,1,0.03335118299999351,0
100,6,0,0,3,118,1,0.050005912999992574,0
100,6,0,0,4,119,1,0.050056935000000635,0
100,7,0,0,1,120,-3,11.59985804499999,0
100,7,0,0,2,121,1,0.03342986100000189,0
100,7,0,0,3,122,1,0.050005913000006785,0
100,7,0,0,4,123,1,0.13326096500000517,0
100,7,0,0,5,124,1,0.06678819600000452,0
100,7,0,0,6,125,1,0.05011606200000074,0
100,7,0,0,7,126,1,0.08344507200001772,0
100,7,0,0,8,127,1,0.05003404600000749,0
100,7,0,0,9,128,1,0.050095080999994934,0
100,7,0,0,10,129,1,0.05004882800000132,0
100,8,0,0,1,130,1,0.08340406400000688,0
100,8,0,0,2,131,1,0.050024987000000465,0
100,8,0,0,3,132,1,0.06671810199998163,0
100,8,0,0,4,133,1,0.08336400999999682,0
100,8,0,0,5,134,1,0.08336806299999466,0
100,8,0,0,6,135,1,0.06675195700000813,0
100,8,0,0,7,136,1,0.08343100500002265,0
100,8,0,0,8,137,1,0.11664414399999146,0
100,8,0,0,9,138,1,0.08328986199998667,0
100,8,0,0,10,139,1,0.10004496599998447,0
100,8,0,0,11,140,1,0.11669802700001242,0
100,8,0,0,12,141,1,0.09994697600001246,0
100,8,0,0,13,142,1,0.11666703299999881,0
100,8,0,0,14,143,1,0.0832941529999971,0
100,8,0,0,15,144,1,0.08325409899998704,0
100,9,0,0,1,145,1,0.11668419899999094,0
100,9,0,0,2,146,1,0.11667990699999109,0
100,9,0,0,3,147,1,0.08328008699999145,0
100,9,0,0,4,148,1,0.08333611499998028,0
100,9,0,0,5,149,1,0.08326792700000851,0
100,9,0,0,6,150,1,0.08337712300001954,0
100,9,0,0,7,151,1,0.08330917300000351,0
100,9,0,0,8,152,1,0.08336806300002308,0
100,9,0,0,9,153,1,0.11668896699998754,0
100,9,0,0,10,154,1,0.049997806999982686,0
100,9,0,0,11,155,1,0.08341407799997569,0
100,9,0,0,12,156,1,0.09999299000000406,0
100,9,0,0,13,157,1,0.11671996100000115,0
100,9,0,0,14,158,1,0.09999108299999193,0
100,9,0,0,15,159,1,0.08337283199998069,0
